#chunkId,viewpointId,tileId,qualityId,distortion,bitrate
0,0,0,0,2.993,3.874032
0,0,0,1,2.315,4.886216
0,0,0,2,1.542,8.75564
0,1,0,0,2.993,3.249928
0,1,0,1,2.315,4.16632
0,1,0,2,1.542,6.693696
0,2,0,0,2.993,3.113784
0,2,0,1,2.315,3.904352
0,2,0,2,1.542,6.113248
1,0,0,0,1.335,7.049184
1,0,0,1,1.163,9.96668
1,0,0,2,0.959,15.224496
1,1,0,0,1.335,6.353096
1,1,0,1,1.163,8.658088
1,1,0,2,0.959,12.9518
1,2,0,0,1.335,6.179144
1,2,0,1,1.163,8.298056
1,2,0,2,0.959,12.141056
2,0,0,0,1.352,6.399296
2,0,0,1,1.114,10.83048
2,0,0,2,0.885,18.30172
2,1,0,0,1.352,6.391472
2,1,0,1,1.114,9.773744
2,1,0,2,0.885,15.590544
2,2,0,0,1.352,6.620224
2,2,0,1,1.114,9.937392
2,2,0,2,0.885,15.084784
3,0,0,0,1.489,4.957096
3,0,0,1,1.179,9.14708
3,0,0,2,0.871,18.344432
3,1,0,0,1.489,5.80732
3,1,0,1,1.179,9.82652
3,1,0,2,0.871,16.925552
3,2,0,0,1.489,5.835424
3,2,0,1,1.179,9.805096
3,2,0,2,0.871,16.285696
4,0,0,0,1.505,5.3
4,0,0,1,1.238,8.251928
4,0,0,2,0.875,18.777728
4,1,0,0,1.505,4.978608
4,1,0,1,1.238,9.311568
4,1,0,2,0.875,17.918304
4,2,0,0,1.505,5.031776
4,2,0,1,1.238,9.303512
4,2,0,2,0.875,16.990944
5,0,0,0,1.484,5.197048
5,0,0,1,1.275,7.584448
5,0,0,2,0.89,17.571952
5,1,0,0,1.484,4.799552
5,1,0,1,1.275,8.28584
5,1,0,2,0.89,17.979568
5,2,0,0,1.484,4.796472
5,2,0,1,1.275,8.639176
5,2,0,2,0.89,17.604888
6,0,0,0,1.489,4.888704
6,0,0,1,1.255,7.882672
6,0,0,2,0.892,17.62832
6,1,0,0,1.489,4.930952
6,1,0,1,1.255,7.780736
6,1,0,2,0.892,17.841072
6,2,0,0,1.489,4.83092
6,2,0,1,1.255,8.233864
6,2,0,2,0.892,17.822632
7,0,0,0,1.527,4.852488
7,0,0,1,1.271,7.720704
7,0,0,2,0.923,16.17872
7,1,0,0,1.527,5.071728
7,1,0,1,1.271,7.556728
7,1,0,2,0.923,17.86492
7,2,0,0,1.527,4.917368
7,2,0,1,1.271,7.847768
7,2,0,2,0.923,18.146448
8,0,0,0,1.535,5.264368
8,0,0,1,1.253,8.16952
8,0,0,2,0.926,16.541672
