#chunkId,viewpointId,tileId,visibilityRatio,switchingDecisionTime
0,0,0,0.0,-1
0,0,1,0.074,-1
0,0,2,0.131,-1
0,0,3,0.062,-1
0,0,4,0.001,-1
0,0,5,0.0,-1
0,0,6,0.0,-1
0,0,7,0.176,-1
0,0,8,0.215,-1
0,0,9,0.168,-1
0,0,10,0.008,-1
0,0,11,0.0,-1
0,0,12,0.0,-1
0,0,13,0.0,-1
0,0,14,0.0,-1
0,0,15,0.0,-1
0,0,16,0.0,-1
0,0,17,0.115,-1
0,0,18,0.0,-1
0,0,19,0.0,-1
0,0,20,0.0,-1
0,0,21,0.0,-1
0,0,22,0.0,-1
0,0,23,0.05,-1
0,1,0,0.0,-1
0,1,1,0.0,-1
0,1,2,0.0,-1
0,1,3,0.0,-1
0,1,4,0.0,-1
0,1,5,0.0,-1
0,1,6,0.0,-1
0,1,7,0.0,-1
0,1,8,0.0,-1
0,1,9,0.0,-1
0,1,10,0.0,-1
0,1,11,0.0,-1
0,1,12,0.0,-1
0,1,13,0.0,-1
0,1,14,0.0,-1
0,1,15,0.0,-1
0,1,16,0.0,-1
0,1,17,0.0,-1
0,1,18,0.0,-1
0,1,19,0.0,-1
0,1,20,0.0,-1
0,1,21,0.0,-1
0,1,22,0.0,-1
0,1,23,0.0,-1
0,2,0,0.0,-1
0,2,1,0.0,-1
0,2,2,0.0,-1
0,2,3,0.0,-1
0,2,4,0.0,-1
0,2,5,0.0,-1
0,2,6,0.0,-1
0,2,7,0.0,-1
0,2,8,0.0,-1
0,2,9,0.0,-1
0,2,10,0.0,-1
0,2,11,0.0,-1
0,2,12,0.0,-1
0,2,13,0.0,-1
0,2,14,0.0,-1
0,2,15,0.0,-1
0,2,16,0.0,-1
0,2,17,0.0,-1
0,2,18,0.0,-1
0,2,19,0.0,-1
0,2,20,0.0,-1
0,2,21,0.0,-1
0,2,22,0.0,-1
0,2,23,0.0,-1
1,0,0,0.0,-1
1,0,1,0.065,-1
1,0,2,0.158,-1
1,0,3,0.141,-1
1,0,4,0.01,-1
1,0,5,0.0,-1
1,0,6,0.0,-1
1,0,7,0.123,-1
1,0,8,0.21,-1
1,0,9,0.196,-1
1,0,10,0.008,-1
1,0,11,0.0,-1
1,0,12,0.0,-1
1,0,13,0.0,-1
1,0,14,0.0,-1
1,0,15,0.0,-1
1,0,16,0.0,-1
1,0,17,0.057,-1
1,0,18,0.0,-1
1,0,19,0.0,-1
1,0,20,0.0,-1
1,0,21,0.0,-1
1,0,22,0.0,-1
1,0,23,0.032,-1
1,1,0,0.0,-1
1,1,1,0.0,-1
1,1,2,0.0,-1
1,1,3,0.0,-1
1,1,4,0.0,-1
1,1,5,0.0,-1
1,1,6,0.0,-1
1,1,7,0.0,-1
1,1,8,0.0,-1
1,1,9,0.0,-1
1,1,10,0.0,-1
1,1,11,0.0,-1
1,1,12,0.0,-1
1,1,13,0.0,-1
1,1,14,0.0,-1
1,1,15,0.0,-1
1,1,16,0.0,-1
1,1,17,0.0,-1
1,1,18,0.0,-1
1,1,19,0.0,-1
1,1,20,0.0,-1
1,1,21,0.0,-1
1,1,22,0.0,-1
1,1,23,0.0,-1
1,2,0,0.0,-1
1,2,1,0.0,-1
1,2,2,0.0,-1
1,2,3,0.0,-1
1,2,4,0.0,-1
1,2,5,0.0,-1
1,2,6,0.0,-1
1,2,7,0.0,-1
1,2,8,0.0,-1
1,2,9,0.0,-1
1,2,10,0.0,-1
1,2,11,0.0,-1
1,2,12,0.0,-1
1,2,13,0.0,-1
1,2,14,0.0,-1
1,2,15,0.0,-1
1,2,16,0.0,-1
1,2,17,0.0,-1
1,2,18,0.0,-1
1,2,19,0.0,-1
1,2,20,0.0,-1
1,2,21,0.0,-1
1,2,22,0.0,-1
1,2,23,0.0,-1
2,0,0,0.0,-1
2,0,1,0.019,-1
2,0,2,0.115,-1
2,0,3,0.18,-1
2,0,4,0.089,-1
2,0,5,0.0,-1
2,0,6,0.0,-1
2,0,7,0.049,-1
2,0,8,0.184,-1
2,0,9,0.2,-1
2,0,10,0.092,-1
2,0,11,0.0,-1
2,0,12,0.0,-1
2,0,13,0.0,-1
2,0,14,0.0,-1
2,0,15,0.0,-1
2,0,16,0.0,-1
2,0,17,0.017,-1
2,0,18,0.012,-1
2,0,19,0.0,-1
2,0,20,0.0,-1
2,0,21,0.0,-1
2,0,22,0.0,-1
2,0,23,0.043,-1
2,1,0,0.0,-1
2,1,1,0.0,-1
2,1,2,0.0,-1
2,1,3,0.0,-1
2,1,4,0.0,-1
2,1,5,0.0,-1
2,1,6,0.0,-1
2,1,7,0.0,-1
2,1,8,0.0,-1
2,1,9,0.0,-1
2,1,10,0.0,-1
2,1,11,0.0,-1
2,1,12,0.0,-1
2,1,13,0.0,-1
2,1,14,0.0,-1
2,1,15,0.0,-1
2,1,16,0.0,-1
2,1,17,0.0,-1
2,1,18,0.0,-1
2,1,19,0.0,-1
2,1,20,0.0,-1
2,1,21,0.0,-1
2,1,22,0.0,-1
2,1,23,0.0,-1
2,2,0,0.0,-1
2,2,1,0.0,-1
2,2,2,0.0,-1
2,2,3,0.0,-1
2,2,4,0.0,-1
2,2,5,0.0,-1
2,2,6,0.0,-1
2,2,7,0.0,-1
2,2,8,0.0,-1
2,2,9,0.0,-1
2,2,10,0.0,-1
2,2,11,0.0,-1
2,2,12,0.0,-1
2,2,13,0.0,-1
2,2,14,0.0,-1
2,2,15,0.0,-1
2,2,16,0.0,-1
2,2,17,0.0,-1
2,2,18,0.0,-1
2,2,19,0.0,-1
2,2,20,0.0,-1
2,2,21,0.0,-1
2,2,22,0.0,-1
2,2,23,0.0,-1
3,0,0,0.047,-1
3,0,1,0.153,-1
3,0,2,0.151,-1
3,0,3,0.051,-1
3,0,4,0.014,-1
3,0,5,0.0,-1
3,0,6,0.032,-1
3,0,7,0.177,-1
3,0,8,0.198,-1
3,0,9,0.078,-1
3,0,10,0.016,-1
3,0,11,0.0,-1
3,0,12,0.008,-1
3,0,13,0.001,-1
3,0,14,0.001,-1
3,0,15,0.0,-1
3,0,16,0.0,-1
3,0,17,0.054,-1
3,0,18,0.001,-1
3,0,19,0.0,-1
3,0,20,0.0,-1
3,0,21,0.0,-1
3,0,22,0.0,-1
3,0,23,0.018,-1
3,1,0,0.0,-1
3,1,1,0.0,-1
3,1,2,0.0,-1
3,1,3,0.0,-1
3,1,4,0.0,-1
3,1,5,0.0,-1
3,1,6,0.0,-1
3,1,7,0.0,-1
3,1,8,0.0,-1
3,1,9,0.0,-1
3,1,10,0.0,-1
3,1,11,0.0,-1
3,1,12,0.0,-1
3,1,13,0.0,-1
3,1,14,0.0,-1
3,1,15,0.0,-1
3,1,16,0.0,-1
3,1,17,0.0,-1
3,1,18,0.0,-1
3,1,19,0.0,-1
3,1,20,0.0,-1
3,1,21,0.0,-1
3,1,22,0.0,-1
3,1,23,0.0,-1
3,2,0,0.0,-1
3,2,1,0.0,-1
3,2,2,0.0,-1
3,2,3,0.0,-1
3,2,4,0.0,-1
3,2,5,0.0,-1
3,2,6,0.0,-1
3,2,7,0.0,-1
3,2,8,0.0,-1
3,2,9,0.0,-1
3,2,10,0.0,-1
3,2,11,0.0,-1
3,2,12,0.0,-1
3,2,13,0.0,-1
3,2,14,0.0,-1
3,2,15,0.0,-1
3,2,16,0.0,-1
3,2,17,0.0,-1
3,2,18,0.0,-1
3,2,19,0.0,-1
3,2,20,0.0,-1
3,2,21,0.0,-1
3,2,22,0.0,-1
3,2,23,0.0,-1
4,0,0,0.124,-1
4,0,1,0.144,-1
4,0,2,0.071,-1
4,0,3,0.0,-1
4,0,4,0.0,-1
4,0,5,0.0,-1
4,0,6,0.182,-1
4,0,7,0.19,-1
4,0,8,0.156,-1
4,0,9,0.001,-1
4,0,10,0.0,-1
4,0,11,0.0,-1
4,0,12,0.0,-1
4,0,13,0.001,-1
4,0,14,0.006,-1
4,0,15,0.033,-1
4,0,16,0.024,-1
4,0,17,0.068,-1
4,0,18,0.0,-1
4,0,19,0.0,-1
4,0,20,0.0,-1
4,0,21,0.0,-1
4,0,22,0.0,-1
4,0,23,0.0,-1
4,1,0,0.0,-1
4,1,1,0.0,-1
4,1,2,0.0,-1
4,1,3,0.0,-1
4,1,4,0.0,-1
4,1,5,0.0,-1
4,1,6,0.0,-1
4,1,7,0.0,-1
4,1,8,0.0,-1
4,1,9,0.0,-1
4,1,10,0.0,-1
4,1,11,0.0,-1
4,1,12,0.0,-1
4,1,13,0.0,-1
4,1,14,0.0,-1
4,1,15,0.0,-1
4,1,16,0.0,-1
4,1,17,0.0,-1
4,1,18,0.0,-1
4,1,19,0.0,-1
4,1,20,0.0,-1
4,1,21,0.0,-1
4,1,22,0.0,-1
4,1,23,0.0,-1
4,2,0,0.0,-1
4,2,1,0.0,-1
4,2,2,0.0,-1
4,2,3,0.0,-1
4,2,4,0.0,-1
4,2,5,0.0,-1
4,2,6,0.0,-1
4,2,7,0.0,-1
4,2,8,0.0,-1
4,2,9,0.0,-1
4,2,10,0.0,-1
4,2,11,0.0,-1
4,2,12,0.0,-1
4,2,13,0.0,-1
4,2,14,0.0,-1
4,2,15,0.0,-1
4,2,16,0.0,-1
4,2,17,0.0,-1
4,2,18,0.0,-1
4,2,19,0.0,-1
4,2,20,0.0,-1
4,2,21,0.0,-1
4,2,22,0.0,-1
4,2,23,0.0,-1
5,0,0,0.159,-1
5,0,1,0.159,-1
5,0,2,0.085,-1
5,0,3,0.001,-1
5,0,4,0.0,-1
5,0,5,0.0,-1
5,0,6,0.168,-1
5,0,7,0.184,-1
5,0,8,0.139,-1
5,0,9,0.002,-1
5,0,10,0.0,-1
5,0,11,0.0,-1
5,0,12,0.011,-1
5,0,13,0.004,-1
5,0,14,0.02,-1
5,0,15,0.019,-1
5,0,16,0.009,-1
5,0,17,0.04,-1
5,0,18,0.0,-1
5,0,19,0.0,-1
5,0,20,0.0,-1
5,0,21,0.0,-1
5,0,22,0.0,-1
5,0,23,0.0,-1
5,1,0,0.0,-1
5,1,1,0.0,-1
5,1,2,0.0,-1
5,1,3,0.0,-1
5,1,4,0.0,-1
5,1,5,0.0,-1
5,1,6,0.0,-1
5,1,7,0.0,-1
5,1,8,0.0,-1
5,1,9,0.0,-1
5,1,10,0.0,-1
5,1,11,0.0,-1
5,1,12,0.0,-1
5,1,13,0.0,-1
5,1,14,0.0,-1
5,1,15,0.0,-1
5,1,16,0.0,-1
5,1,17,0.0,-1
5,1,18,0.0,-1
5,1,19,0.0,-1
5,1,20,0.0,-1
5,1,21,0.0,-1
5,1,22,0.0,-1
5,1,23,0.0,-1
5,2,0,0.0,-1
5,2,1,0.0,-1
5,2,2,0.0,-1
5,2,3,0.0,-1
5,2,4,0.0,-1
5,2,5,0.0,-1
5,2,6,0.0,-1
5,2,7,0.0,-1
5,2,8,0.0,-1
5,2,9,0.0,-1
5,2,10,0.0,-1
5,2,11,0.0,-1
5,2,12,0.0,-1
5,2,13,0.0,-1
5,2,14,0.0,-1
5,2,15,0.0,-1
5,2,16,0.0,-1
5,2,17,0.0,-1
5,2,18,0.0,-1
5,2,19,0.0,-1
5,2,20,0.0,-1
5,2,21,0.0,-1
5,2,22,0.0,-1
5,2,23,0.0,-1
6,0,0,0.113,-1
6,0,1,0.175,-1
6,0,2,0.109,-1
6,0,3,0.003,-1
6,0,4,0.0,-1
6,0,5,0.0,-1
6,0,6,0.147,-1
6,0,7,0.2,-1
6,0,8,0.171,-1
6,0,9,0.005,-1
6,0,10,0.0,-1
6,0,11,0.0,-1
6,0,12,0.007,-1
6,0,13,0.0,-1
6,0,14,0.0,-1
6,0,15,0.004,-1
6,0,16,0.005,-1
6,0,17,0.061,-1
6,0,18,0.0,-1
6,0,19,0.0,-1
6,0,20,0.0,-1
6,0,21,0.0,-1
6,0,22,0.0,-1
6,0,23,0.0,-1
6,1,0,0.0,-1
6,1,1,0.0,-1
6,1,2,0.0,-1
6,1,3,0.0,-1
6,1,4,0.0,-1
6,1,5,0.0,-1
6,1,6,0.0,-1
6,1,7,0.0,-1
6,1,8,0.0,-1
6,1,9,0.0,-1
6,1,10,0.0,-1
6,1,11,0.0,-1
6,1,12,0.0,-1
6,1,13,0.0,-1
6,1,14,0.0,-1
6,1,15,0.0,-1
6,1,16,0.0,-1
